Date,KO1 Comdty  (L1),OR1 Comdty  (R1),RG1 Comdty  (R1)
6/22/2018,2283,135.4,148.6
6/25/2018,2295,136.2,146
6/26/2018,2280,136.3,145.6
6/27/2018,2304,139,146.3
6/28/2018,2325,140.4,146.5
6/29/2018,2298,137.1,148
7/2/2018,2303,132.9,147.5
7/3/2018,2287,132.7,146.8
7/4/2018,2269,129.6,145.3
7/5/2018,2270,131.1,146
7/6/2018,2255,129.3,145.8
7/9/2018,2200,131.8,148
7/10/2018,2210,131.7,147.1
7/11/2018,2156,129.7,147
7/12/2018,2138,131.1,146.8
7/13/2018,2140,133.2,147.2
7/16/2018,2143,131.5,146.3
7/17/2018,2162,133.6,146.7
7/18/2018,2200,133.4,147
7/19/2018,2180,133.5,146.8
7/20/2018,2180,132.2,146.2
7/23/2018,2130,131.3,144
7/24/2018,2095,130.5,142.2
7/25/2018,2103,132.7,144.5
7/26/2018,2141,132.6,144.5
7/27/2018,2122,132.5,143.5
7/30/2018,2129,131.7,144.3
7/31/2018,2132,130.1,147.2
8/1/2018,2150,131.1,145.5
8/2/2018,2146,131.5,146.2
8/3/2018,2170,131.4,145.3
8/6/2018,2180,132.9,145.9
8/7/2018,2195,134.2,147
8/8/2018,2220,134.5,147.2
8/9/2018,2214,,
8/10/2018,2206,134.1,146.6
8/13/2018,2169,134.4,147.1
8/14/2018,2178,134.5,146.6
8/15/2018,2178,134.6,146.6
8/16/2018,2191,133.8,145.5
8/17/2018,2204,133.5,145.1
8/20/2018,2215,134.8,146.1
8/21/2018,2205,139.2,148.5
8/23/2018,2183,136.8,148.5
8/24/2018,2178,135.6,149.5
8/27/2018,2166,133.7,148.9
8/28/2018,2189,133,146.5
8/29/2018,2177,132.7,146.2
8/30/2018,2200,134,147.2
8/31/2018,,132,147
9/3/2018,2209,131.7,145.1
9/4/2018,2242,132,144.7
9/5/2018,2239,131.9,144.2
9/6/2018,2224,132.2,144.6
9/7/2018,2213,131.7,144.2
9/10/2018,,132,142.9
9/11/2018,,131.2,142.7
9/12/2018,2195,132.6,144.7
9/13/2018,2205,133.6,144.8
9/14/2018,2206,132.7,143.9
9/17/2018,,132.3,143.9
9/18/2018,2168,132.9,143.7
9/19/2018,2127,132.1,143.6
9/20/2018,2118,133.3,144.2
9/21/2018,2116,133.3,141.8
9/24/2018,2137,133.3,141.5
9/25/2018,2148,133.1,141.3
9/26/2018,2145,133.9,140.7
9/27/2018,2117,133.8,140.1
9/28/2018,2118,134.2,141.1
10/1/2018,2094,133.7,142.3
10/2/2018,2085,134,142.5
10/3/2018,2127,133.4,141.5
10/4/2018,2148,133.6,142.1
10/5/2018,2139,133.3,140.5
10/8/2018,2116,133,141
10/9/2018,2125,134.6,142.8
10/10/2018,2118,133.7,142.7
10/11/2018,2096,132.7,142.3
10/12/2018,2113,133,143.1
10/15/2018,2148,132.8,142.1
10/16/2018,2140,132.1,142.6
10/17/2018,2156,132.5,143.6
10/18/2018,2135,131.8,143
10/19/2018,2125,131.8,142.9
10/22/2018,2145,132.7,141.6
10/23/2018,2122,132.4,142.8
10/24/2018,2103,132,142.3
10/25/2018,2071,131.8,142
10/26/2018,2046,130.5,142.3
10/29/2018,2075,126.7,141.1
10/30/2018,2057,124.6,141
10/31/2018,1988,124.5,139
11/1/2018,1976,124.5,139.2
11/2/2018,1985,126.2,139.5
11/5/2018,1950,124.4,136.6
11/7/2018,1950,124.2,136.3
11/8/2018,1929,124.4,136.9
11/9/2018,1880,124,137.6
11/12/2018,1865,124.1,136.3
11/13/2018,1825,123.5,134.6
11/14/2018,1759,123.7,135.8
11/15/2018,1759,123.2,135.7
11/16/2018,1775,122.8,135.8
11/19/2018,1800,122.9,133.8
11/20/2018,,121.5,132.9
11/21/2018,1822,121.2,132.5
11/22/2018,1878,121.4,133
11/23/2018,1866,121.7,132.4
11/26/2018,1785,123,130
11/27/2018,1805,121.4,130.7
11/28/2018,1839,121.2,131.4
11/29/2018,1867,121.3,131.5
11/30/2018,1872,122.4,132.3
12/3/2018,1813,124.3,136.5
12/4/2018,1800,123.9,137.2
12/5/2018,1780,124.3,136.9
12/6/2018,1792,123.5,137.9
12/7/2018,1793,123.4,139.6
12/10/2018,1835,123.1,138.1
12/11/2018,1805,123.3,136.9
12/12/2018,1813,124.2,139.2
12/13/2018,1835,125,140.7
12/14/2018,1835,124.4,141.3
12/17/2018,1964,126.2,144
12/18/2018,2062,126.4,144.5
12/19/2018,2139,126.1,144.2
12/20/2018,2133,128,146.6
12/21/2018,2103,127.7,146.8
12/24/2018,2055,126.9,146.8
12/26/2018,2017,124.4,145.5
12/27/2018,2012,124.5,148
12/28/2018,2013,124.8,148.5
12/31/2018,2004,,
1/2/2019,2070,128.6,150
1/3/2019,2090,132.6,153.3
1/4/2019,2120,140.5,159.4
1/7/2019,2092,138.7,157
1/8/2019,2109,138.4,157.7
1/9/2019,2104,137.1,159.1
1/10/2019,2087,134.8,157.8
1/11/2019,2093,135.1,160.8
1/14/2019,2062,134.1,157.9
1/15/2019,2130,133.1,158.4
1/16/2019,2090,133.8,158.4
1/17/2019,2121,133,158.5
1/18/2019,2142,134.3,159.4
1/21/2019,,137.5,165.5
1/22/2019,2163,134.6,161.3
1/23/2019,2191,133,159.6
1/24/2019,2200,132.8,161
1/25/2019,2190,132.9,160.7
1/28/2019,2222,131.2,158.3
1/29/2019,2194,129.8,156.2
1/30/2019,2204,132.5,157.9
1/31/2019,2200,129.7,158.8
2/1/2019,,133.3,157
2/4/2019,2207,,
2/7/2019,2216,132.3,156.6
2/8/2019,2190,130.9,156.1
2/11/2019,2195,130.8,155.9
2/12/2019,2181,132.5,157.2
2/13/2019,2176,133.3,158.9
2/14/2019,2200,136,160.4
2/15/2019,2200,134.8,159.7
2/18/2019,2206,136.3,162
2/19/2019,2155,141.3,165.1
2/20/2019,2134,143.9,167
2/21/2019,2145,140.9,166.1
2/22/2019,2138,144.6,169.8
2/25/2019,2020,144.8,169
2/26/2019,1982,143.8,167.6
2/27/2019,1920,145.8,168.3
2/28/2019,1915,143,173
3/1/2019,1986,149.4,175.9
3/4/2019,1978,147.4,175.3
3/5/2019,1992,148.3,174.8
3/6/2019,2000,147.8,175.2
3/7/2019,1973,146,172.5
3/8/2019,1971,146.3,172.2
3/11/2019,1962,145.7,172.3
3/12/2019,1980,146.7,172.9
3/13/2019,1956,147.3,171.9
3/14/2019,1950,147.9,172.9
3/15/2019,1950,147.1,171.1
3/18/2019,2025,147.5,171.9
3/19/2019,2060,147.8,172.5
3/20/2019,2095,147.9,172
3/21/2019,2090,148.6,172.2
3/22/2019,2090,148.2,171.3
3/25/2019,2062,146.5,166.8
3/26/2019,2036,145.6,167.1
3/27/2019,2031,144.1,167.4
3/28/2019,2013,145.4,165
3/29/2019,2001,143,166.6
4/1/2019,2009,144.6,165.7
4/2/2019,2037,146.4,166
4/3/2019,2070,148.5,167.3
4/4/2019,2100,149.1,167.8
4/5/2019,2129,149.3,168
4/8/2019,2111,151.6,170.6
4/9/2019,2120,152.2,170.1
4/10/2019,2056,154.3,172.1
4/11/2019,2040,154.3,172.6
4/12/2019,2038,155.2,174.2
4/15/2019,2100,155.1,173.3
4/16/2019,2105,152.9,171.8
4/17/2019,2130,150.7,171.9
4/18/2019,2107,149.8,171.1
4/19/2019,2108,,
4/22/2019,2090,151.2,172.2
4/23/2019,2079,151.1,172.7
4/24/2019,2079,151,171.4
4/25/2019,2050,151.3,172
4/26/2019,2013,150.8,173.3
4/29/2019,1997,152.2,174.7
4/30/2019,1982,151.1,175
5/2/2019,1919,150.3,177.1
5/3/2019,1900,151.3,177.4
5/6/2019,1877,149.2,176
5/7/2019,1931,150.5,175
5/8/2019,1922,149.8,174.8
5/9/2019,1910,148,172.2
5/10/2019,1920,149.4,174.4
5/13/2019,1927,149.5,174.5
5/14/2019,1957,148.1,174.2
5/15/2019,1957,148.1,174.7
5/16/2019,2061,151,178.8
5/17/2019,2049,149.9,178.1
5/21/2019,2008,152.2,180.4
5/22/2019,,151.5,180.8
5/23/2019,1974,151.4,180.5
5/24/2019,1976,153.3,185.5
5/27/2019,1987,155.6,185.9
5/28/2019,2018,155.1,186.9
5/29/2019,2044,155.4,188.7
5/30/2019,2020,155.3,189.2
5/31/2019,2030,157,190.5
6/3/2019,1994,151.5,185.2
6/4/2019,2030,152.2,188.2
6/6/2019,,154.3,194.3
6/7/2019,2003,153.4,192.1
6/10/2019,1971,154.5,197.5
6/11/2019,1986,155.4,198.2
6/12/2019,1951,154.6,197.9
6/13/2019,1989,154.5,199.9
6/14/2019,2000,154,200.4
6/17/2019,2023,152.2,201.1
6/18/2019,2005,151.2,199.4
6/19/2019,2026,148.9,199.5
6/20/2019,2004,148.4,200.9
6/21/2019,1998,147.9,203.5
6/24/2019,1967,146.9,202.3
6/25/2019,1948,149.5,201.2
6/26/2019,1916,149.8,199.7
6/27/2019,1880,150.3,202.3
6/28/2019,1865,149.8,202.8
7/1/2019,1890,147.3,193.6
7/2/2019,1904,146.3,192.5
7/3/2019,1894,144.8,187.7
7/4/2019,1890,144.1,187
7/5/2019,1909,145.5,183.7
7/8/2019,1891,143.2,180.7
7/9/2019,1890,140.2,178.7
7/10/2019,1884,140,174.7
7/11/2019,1888,140,174.4
7/12/2019,1900,139.4,175
7/15/2019,1900,140.9,175.1
7/16/2019,1918,139.6,174.1
7/17/2019,1922,140.1,173.1
7/18/2019,1916,141.1,175.4
7/19/2019,1905,141.9,173.8
7/22/2019,1920,142.1,172.3
7/23/2019,1932,142.3,172.7
7/24/2019,1947,142.1,173
7/25/2019,1985,142.2,172.6
7/26/2019,1996,140.4,169.5
7/29/2019,2008,138.3,162.9
7/30/2019,,134.7,160
7/31/2019,2019,134.5,160
8/1/2019,2015,131.7,151.4
8/2/2019,2013,130.7,149.6
8/5/2019,2027,128.9,147
8/6/2019,2037,130.6,148.4
8/7/2019,2040,130.9,148
8/8/2019,2073,131.2,148
8/9/2019,2141,,
8/13/2019,2172,129.3,148.7
8/14/2019,2174,131,150
8/15/2019,2172,129.8,149
8/16/2019,2143,130.4,152.8
8/19/2019,2105,131.3,152.5
8/20/2019,2129,130.7,151
8/21/2019,2163,130.1,150.1
8/22/2019,2201,129.2,150.8
8/23/2019,2210,128.9,149.2
8/26/2019,2213,128.9,147.4
8/27/2019,2184,129.5,148.7
8/28/2019,2200,129.4,146.6
8/29/2019,2155,128.2,148.2
8/30/2019,2168,128.5,149
9/2/2019,,129.7,147.9
9/3/2019,2106,131.1,149.9
9/4/2019,2100,133.1,152.7
9/5/2019,2090,133.8,153.2
9/6/2019,2116,133.3,151.5
9/9/2019,,133,153.5
9/10/2019,2133,134,155
9/11/2019,2114,133.1,154.2
9/12/2019,2105,133.8,154.5
9/13/2019,2105,133.8,153
9/16/2019,,134.2,152.6
9/17/2019,2213,134.9,151.1
9/18/2019,2199,134,149.5
9/19/2019,2181,132.6,146
9/20/2019,2161,133,146.2
9/23/2019,2124,133.4,146.6
9/24/2019,2079,132.8,147.4
9/25/2019,2084,131.4,148.1
9/26/2019,2107,127.9,147.5
9/27/2019,2090,126.3,145.9
9/30/2019,2078,127.9,148.2
10/1/2019,2108,127.1,143.6
10/2/2019,2085,125.2,141.3
10/3/2019,2086,124.4,139.5
10/4/2019,2096,125.1,139
10/7/2019,2104,125,138.5
10/8/2019,2118,126.2,138.5
10/9/2019,2140,127.7,139.6
10/10/2019,2135,128.7,140.6
10/11/2019,2118,129.2,140.1
10/14/2019,2088,130.1,142.5
10/15/2019,2088,128.9,141.6
10/16/2019,2189,129.2,143.4
10/17/2019,2192,130.7,143.2
10/18/2019,2208,130.8,144.8
10/21/2019,2215,130.9,145
10/22/2019,2236,131.2,144
10/23/2019,2239,131.2,146.2
10/24/2019,2287,131.7,147.7
10/25/2019,2309,131.7,148.5
10/29/2019,2340,130.8,149.3
10/30/2019,2410,131.5,150.8
10/31/2019,2444,131.9,150.8
11/1/2019,2422,132.7,146.2
11/4/2019,2470,132.5,148
11/5/2019,2454,135.4,149.3
11/6/2019,2492,135.4,149.5
11/7/2019,2480,135.7,150.8
11/8/2019,2526,135.1,150.9
11/11/2019,2580,134.7,150
11/12/2019,2555,135.9,151.2
11/13/2019,2534,136.7,151.8
11/14/2019,2560,137.2,153
11/15/2019,2560,135.3,150.8
11/18/2019,2494,136.9,151.3
11/19/2019,2519,136.9,152
11/20/2019,2588,139.5,156.2
11/21/2019,2572,141.1,157.3
11/22/2019,2642,141.3,158.5
11/25/2019,2650,141.7,159.8
11/26/2019,2580,139.7,160
11/27/2019,2600,139.1,159.9
11/28/2019,2637,139.9,161
11/29/2019,2620,138.5,160.5
12/2/2019,2630,140.6,157.7
12/3/2019,2646,141.8,159.4
12/4/2019,2673,142.3,160.3
12/5/2019,2715,145.8,164.7
12/6/2019,2757,148.5,166.1
12/9/2019,2802,147.1,165.9
12/10/2019,2820,146.7,166.4
12/11/2019,2802,147.3,167.7
12/12/2019,2816,147.1,168.2
12/13/2019,2816,147.3,168.2
12/16/2019,2851,146.4,168.8
12/17/2019,2849,147,168.4
12/18/2019,2835,145.4,168.2
12/19/2019,2853,142.7,165.5
12/20/2019,2897,143.3,165.9
12/23/2019,2901,142.7,164.1
12/24/2019,2900,143.9,164.8
12/26/2019,2969,143.6,164.1
12/27/2019,3035,143.2,164
12/30/2019,3097,145.1,166.3
12/31/2019,3041,,
1/2/2020,3125,144.9,162.6
1/3/2020,3110,144.7,162
1/6/2020,3036,148,166
1/7/2020,3038,149.5,165.5
1/8/2020,3038,149.8,168.6
1/9/2020,3108,147.4,167.5
1/10/2020,3131,148.5,167
1/13/2020,3092,152.4,174.3
1/14/2020,3030,152,174.2
1/15/2020,3030,151.6,173.3
1/16/2020,2968,152.4,170.6
1/17/2020,2922,152,171.9
1/20/2020,2973,150.7,169.7
1/21/2020,2960,147.6,166.8
1/22/2020,3038,146.8,164.1
1/23/2020,2985,145.9,164.5
1/24/2020,2925,,
1/28/2020,2640,136,155.8
1/29/2020,2779,137,159.3
1/30/2020,2684,135.8,156.3
1/31/2020,2640,138,156.3
2/3/2020,2670,127.2,149.5
2/4/2020,2717,131.2,152.6
2/5/2020,2853,132.6,153.5
2/6/2020,2898,132.5,151
2/7/2020,2872,132.3,150
2/10/2020,2800,132.3,151.2
2/11/2020,2740,135.2,155.6
2/12/2020,2736,134.7,157
2/13/2020,2665,134.3,157.5
2/14/2020,2660,134.4,157.5
2/17/2020,2725,136.4,163
2/18/2020,2730,135.7,163.4
2/19/2020,2645,135.5,163
2/20/2020,2669,136.2,163.7
2/21/2020,2683,136.3,163.5
2/24/2020,2596,133.2,162
2/25/2020,2480,135.3,163.4
2/26/2020,2460,135,163.1
2/27/2020,2497,135.1,161.5
2/28/2020,2357,130.5,157.7
3/2/2020,2358,131.4,161.9
3/3/2020,2405,131,163.3
3/4/2020,2501,130.8,162.8
3/5/2020,2532,131,161.8
3/6/2020,2448,129.8,159.6
3/9/2020,2336,126.2,157.1
3/10/2020,2339,128.3,160.6
3/11/2020,2370,127.7,160.9
3/12/2020,2302,126.1,159.6
3/13/2020,2302,127.2,158
3/16/2020,2276,125.2,155.5
3/17/2020,2325,126,155.8
3/18/2020,2321,122.4,150.3
3/19/2020,2271,118.4,148
3/20/2020,2338,117.7,146.6
3/23/2020,2348,110.6,139.8
3/24/2020,2401,111.3,134.7
3/25/2020,2483,111.3,136.5
3/26/2020,2420,108.8,135.5
3/27/2020,2487,107,132.6
3/30/2020,2591,103.6,138
3/31/2020,2550,103.8,137.3
4/1/2020,2493,103.4,127.1
4/2/2020,2398,105.9,128
4/3/2020,2320,106.1,131.9
4/6/2020,2333,107.2,130
4/7/2020,2393,108.5,130.5
4/8/2020,2433,111.9,131.5
4/9/2020,2383,111.7,131.5
4/10/2020,2389,,
4/13/2020,2302,110.5,132.3
4/14/2020,2312,111.7,134
4/15/2020,2312,111.3,137
4/16/2020,2249,111.3,136.9
4/17/2020,2285,112.1,138.8
4/20/2020,2290,113.1,139
4/21/2020,2113,107.7,135.2
4/22/2020,2120,108.3,136.9
4/23/2020,2162,110.1,137
4/24/2020,2121,109.5,135.5
4/27/2020,2050,108.8,134.7
4/28/2020,2051,105.2,133.6
4/29/2020,2060,104.8,133.8
4/30/2020,2102,105,135
5/4/2020,2035,106.7,133.3
5/5/2020,2038,106.9,136.7
5/6/2020,2000,110.3,136.9
5/8/2020,2060,109.6,137.5
5/11/2020,,108.7,139
5/12/2020,2036,107.9,137
5/13/2020,2070,108.1,136
5/14/2020,2081,108,135
5/15/2020,2115,109.2,135.8
5/18/2020,2186,108.8,135.7
5/19/2020,2230,109.8,135
5/20/2020,2218,110.7,135.5
5/21/2020,2276,111.3,136.3
5/22/2020,2240,109.5,134.5
5/26/2020,,110.1,135
5/27/2020,2345,109.4,133.5
5/28/2020,2334,108,131.3
5/29/2020,2373,111.2,131.5
6/1/2020,2388,112.4,134.6
6/2/2020,2460,112,136.4
6/3/2020,2474,114,137.1
6/4/2020,2396,112.5,137.7
6/5/2020,2405,116.4,144.9
6/8/2020,,118.3,147
6/9/2020,2415,116.9,145.5
6/10/2020,2380,116.4,145.4
6/11/2020,2403,115.3,144
6/12/2020,2433,114.5,143.5
6/15/2020,2422,112.8,141.5
6/16/2020,2455,113.5,141.5
6/17/2020,2447,113.9,140.9
6/18/2020,2454,114.3,140.8
6/19/2020,2538,116.2,142
6/22/2020,2520,115.5,141.3
6/23/2020,2542,115.3,144.8
6/24/2020,2542,114,146.4
6/25/2020,2512,113.4,146
6/26/2020,2473,112.7,146.5
6/29/2020,2428,111.1,147.9
6/30/2020,2379,109.3,146.5
7/1/2020,2395,114,142
7/2/2020,2423,115.1,149.9
7/3/2020,2421,116,148.4
7/6/2020,2445,117.7,145.1
7/7/2020,2423,116.9,147.2
7/8/2020,2474,117.7,148.1
