COMMODITY,"DEFINITIONS, COVERAGE, REMARKS",Item,Item Code,subclass,subclass code,class,class code,type,lifespan
"CHERRIES
mazzard, sweet cherry
(Prunus avium; Cerasus avium);
hard-fleshed cherry (var. duracina);
heart cherry (var. juliana)",,Cherries,531,,,Fruit Primary,1738.0,,
"PEACHES AND NECTARINES
Prunus persica; Amygdalus persica;
Persica laevis",,Peaches and nectarines,534,,,Fruit Primary,1738.0,,
"PLUMS
greengage, mirabelle, damson (Prunus domestica);
sloe (P. spinosa)",,Plums and sloes,536,,,Fruit Primary,1738.0,Perennial,
"Plums, Dried",See 0527. Known as prunes.,,537,,,Fruit Primary,1738.0,Perennial,
Juice of Plum,See 0491.,,538,,,Fruit Primary,1738.0,Perennial,
"Juice of Plum, Concentrated",See 0492.,,539,,,Fruit Primary,1738.0,Perennial,
"STONE FRUIT, FRESH NES","Other stone fruit not separately identified. In some countries,
apricots, cherries, peaches, nectarines and plums are reported under
this general category.","Fruit, stone nes",541,,,Fruit Primary,1738.0,,
POME FRUIT NES,"Other pome fruit not separately identified. In some countries apples,
pears and quinces are reported under this general category.","Fruit, pome nes",542,,,Fruit Primary,1738.0,,
"STRAWBERRIES
Fragaria spp.",,Strawberries,544,,,Fruit Primary,1738.0,Perennial,
"RASPBERRIES
ubus idaeus","Trade data may include blackberries, mulberries and loganberries (a
cross between the raspberry and blackberry).",Raspberries,547,,,Fruit Primary,1738.0,Perennial,
"GOOSEBERRIES
Ribes grossularia","Trade data may sometimes include black, white or red currants.",Gooseberries,549,,,Fruit Primary,1738.0,Perennial,
"CURRANTS
black (Ribes nigrum);
red and white",,Currants,550,,,Fruit Primary,1738.0,Perennial,
"BLUEBERRIES
European blueberry, wild bilberry,
whortleberry (Vaccinium myrtillus);
American blueberry (V. corymbosum)","Trade data may include cranberries, myrtle berries and other fruits of
the genus Vaccinium.",Blueberries,552,,,Fruit Primary,1738.0,Perennial,
"CRANBERRIES
American cranberry (Vaccinium macrocarpon);
European cranberry (V. oxycoccus)","Trade data may include blueberries, myrtle berries and other fruits of
the genus Vaccinium.",Cranberries,554,,,Fruit Primary,1738.0,Perennial,
"BERRIES NES
Including inter alia:
blackberry (Morus nigra);
loganberry;
white, red mulberry (M. alba; M. rubra);
myrtle berry (Myrtus communis) huckleberry,
dangleberry (Gaylussacia spp.)","Other berries not separately identified. In some countries, some or
all of the berries listed previously are reported under this general
category.",Berries nes,558,,,Fruit Primary,1738.0,Perennial,
"GRAPES

Vitis vinifera",Includes both table and wine grapes.,Grapes,560,,,Fruit Primary,1738.0,Perennial,
Raisins,Dried grapes. Includes sultanas and currants.,,561,,,Fruit Primary,1738.0,Perennial,
Juice of Grape,See 0491. Includes unfermented grape must.,,562,,,Fruit Primary,1738.0,Perennial,
Must of Grape,See Chapter 15.,,563,,,Fruit Primary,1738.0,Perennial,
Must of Grape,"Grape must that has partially fermented, whether or not fermentation
has been arrested, as well as unfermented grape must to which alcohol
has been added.",,563,,,beverage,,Perennial,
Wine,"Wines of fresh grapes of all qualities, including sparkling, fortified
and dessert wines.",,564,,,beverage,,Perennial,
"Vermouths, etc.",See Chapter 11.,,565,,,Fruit Primary,1738.0,Perennial,
"Vermouths, etc.","Beverages made with wine of fresh grapes and flavoured with aromatic
substances.",,565,,,beverage,,Perennial,
Marc of Grape,Residues from the pressing of grapes. Used also for distilling.,,566,,,fodder,,Perennial,
"WATERMELONS
Citrullus vulgaris",,Watermelons,567,,,Vegetables Primary,1735.0,Annual,
"MELONS, CANTALOUPES",,"Melons, other (inc.cantaloupes)",568,,,Vegetables Primary,1735.0,Annual,
"FIGS
Ficus carica",,Figs,569,,,Fruit Primary,1738.0,Perennial,
"Figs, Dried",See 0527.,,570,,,Fruit Primary,1738.0,Perennial,
"MANGOES
Mangifera indica","Trade figures may include dried mangoes, guavas and mangosteens,
including both fresh and dried.","Mangoes, mangosteens, guavas",571,,,Fruit Primary,1738.0,Perennial,300.0
"AVOCADOS
Persea americana",,Avocados,572,,,Fruit Primary,1738.0,Perennial,
"PINEAPPLES
Ananas comosus; A. sativ",Trade figures may include dried pineapples.,Pineapples,574,,,Fruit Primary,1738.0,Perennial,7.0
"Pineapples, Canned","Fruit pulp prepared in water, syrup, etc.",,575,,,Fruit Primary,1738.0,Perennial,7.0
Juice of Pineapples,See 0491.,,576,,,Fruit Primary,1738.0,Perennial,7.0
"DATES
Phoenix dactylifera",Includes fresh and dried fruit.,Dates,577,,,Fruit Primary,1738.0,Perennial,150.0
"Juice of Pineapples, Concentrated",See 0492. Soluble fruit solids of not less than 27% by weight.,,580,,,Fruit Primary,1738.0,Perennial,7.0
Juice of Mango,See 0491.,,583,,,Fruit Primary,1738.0,Perennial,300.0
Mango Pulp,"Fruit pulp prepared in water, syrup, etc.",,584,,,Fruit Primary,1738.0,Perennial,300.0
"PERSIMONS
Diospyros kaki: D. virginiana",,Persimmons,587,,,Fruit Primary,1738.0,Perennial,
"CASHEWAPPLE
Anacardium occidentale","The thickened, fleshy stem below the cashew nut. When soft it is used
for jam.",Cashewapple,591,,,Fruit Primary,1738.0,Perennial,
"KIWI FRUIT
Actinidia chinensis",,Kiwi fruit,592,,,Fruit Primary,1738.0,Perennial,
"PAPAYAS
Carica papaya",,Papayas,600,,,Fruit Primary,1738.0,Perennial,5.0
"FRUIT, TROPICAL (FRESH) NES
Including inter alia:
breadfruit (Artocarpus incisa);
carambola (Averrhoa carambola);
cherimoya, custard apple (Annona spp.);
durian (Durio zibethinus);
feijoa (Feijoa sellowiana);
guava (Psidium guajava);
hog plum, mombin (Spondias spp.);
jackfruit (Artocarpus integrifolia);
longan (Nephelium longan);
mammee (Mammea americana);
mangosteen (Garcinia mangostana);
naranjillo (Solanum quitoense);
passion fruit (Passiflora edulis);
rambutan (Nephelium lappaceum);
sapote, mamey colorado (Calocarpum mammosum);
sapodilla (Achras sapota);
star apple, cainito (Chrysophyllum spp.)","Other tropical fresh fruit that are not identified separately because
of their minor relevance at the international level. In some countries
mangoes, avocados, pineapples, dates and papayas are reported under
this general category.","Fruit, tropical fresh nes",603,,,Fruit Primary,1738.0,Perennial,
"Fruit, Tropical (Dried) nes","Including, whenever possible, dried bananas, plantains and pineapples
as well as other unlisted tropical fruits.",,604,,,Fruit Primary,1738.0,Perennial,
"FRUIT, FRESH NES
Including inter alia:
azarole (Crataegus azarolus);
babaco (Carica pentagona);
elderberry (Sambucus nigra);
jujube (Zizyphus jujuba);
litchi (Nephelium litchi);
loquat (Eriobotrya japonica);
medlar (Mespilus germanica);
pawpaw (Asimina triloba);
pomegranate (Punica granatum);
prickly pear (Opuntia ficus-indica);
rose hips (Rosa spp.);
rowanberry (Sorbus aucuparia);
service-apple (Sorbus domestica);
tamarind (Tamarindus indica);
tree-strawberry (Arbutus unedo)","Other fresh fruit that are not identified separately because of their
minor relevance at the international level. Because of their limited
local importance, some countries report fresh fruit under this heading
that are classified separately by FAO.","Fruit, fresh nes",619,,,Fruit Primary,1738.0,Perennial,
"Fruit, Dried nes","Dried fruit other than apricots, dates, citrus, figs, grapes, nuts and
plums.",,620,,,Fruit Primary,1738.0,,
Juice of Fruits nes,See 0491.,,622,,,Fruit Primary,1738.0,,
"Fruit, Prepared nes","Fruit, nuts and peel, including frozen, prepared or preserved, jam,
paste, marmalade, purï¼¦ and cooked fruits, other than those listed
separately.",,623,,,Fruit Primary,1738.0,,
Flour of Fruits,"Includes the flour, meal, powder, nuts and peel of fruits.",,624,,,Fruit Primary,1738.0,,
"Fruit, Nuts, Peel, Sugar Preserved","Fruit, nuts, fruit peel, and other parts of plants preserved with
sugar (either drained, glazed or crystallized).",,625,,,Fruit Primary,1738.0,,
"Homogenized Cooked Fruit, Prepared","Cooked fruit preparations, homogenized for dietetic and infant foods.",,626,,,Fruit Primary,1738.0,,
"Pulp, Waste of Fruit for Feed",See Chapter 3.,,628,,,Fruit Primary,1738.0,,
"Pulp, Waste of Fruit for Feed","Waste of fruit, fruit pomace and marc,  excluding marc of grapes.",,628,,,fodder,,,
Beet Tops,"Beet tops, consisting of the leaves and upper part of the root, are
used for feed. They account for about 25% of plant weight, though it
is uncertain how much, if any, of this is included in national
production statistics.",,629,,,fodder,,,
Beet Tops,See Chapter 11.,,629,,,sugar,,,
Beet Tops,See Chapter 11.,,629,,,sugar,,,
Cane Tops,"The leaves and upper part of the stalks, which are used for feed. The
tops represent about 10% of the weight of the plant.",,630,,,fodder,,,
Cane Tops,See Chapter 11.,,630,,,sugar,,,
Cane Tops,See Chapter 11.,,630,,,sugar,,,
"Waters, Ice and Snow","Includes natural or artificial mineral waters without added sugar,
sweeteners or flavourings.",,631,,,beverage,,,
"Alcohol, Non-Food Purposes","Includes undenatured ethyl alcohol (strength by volume of > 80%) and
denatured (any strength).",,632,,,beverage,,,
"Beverages, Non-Alcoholic","Includes sweetened or flavoured mineral waters and other non-alcoholic
beverages, such as lemonade, orangeade, cola, etc. Excludes fruit and
vegetable juices.",,633,,,beverage,,,
"Beverages, Distilled Alcoholic","Includes undenatured ethyl alcohol (strength by volume < 80%);
spirits, liqueurs and other spirituous beverages and preparations.",,634,,,beverage,,,
Straw and Husks,"Cereal straw and husks, unprepared, whether or not chopped, ground,
pressed, or in the form of pellets.",,635,,,fodder,,,
Straw and Husks,See Chapter 11.,,635,,,"Cereals, Total",1717.0,,
MAIZE FOR FORAGE,Maize cut green as grass.,,636,,,fodder,,Annual,
SORGHUM FOR FORAGE,"Usually sweet sorghum, so called for the sweet juice in the stem,
which is cut green as grass.",,637,,,fodder,,,
"RYE GRASS FOR FORAGE
Italian ryegrass (Lolium multiflorum);
English, perennial ryegrass (L. perenne)",Quick-growing grasses.,,638,,,fodder,,,
"GRASSES NES FOR FORAGE
Including inter alia:
bent, redtop, fiorin grass (Agrostis spp.);
bluegrass (Poa spp.);
Columbus grass  (Sorghum almum);
fescue (Festuca spp.);
Napier, elephant grass (Pennisetum purpureum);
orchard grass (Dactylis glomerata);
Rhodes grass (Chloris gayana);
Sudan grass (Sorghum vulgare var. sudanense);
Timothy grass (Phleum pratense)","Includes species used for cereal production, if cut green for fodder.",,639,,,fodder,,,
"CLOVER FOR FORAGE
Trifolium spp.","Various species grown for pasture, green fodder or silage.",,640,,,fodder,,Annual,
"ALFALFA FOR FORAGE
Medicago sativa","A deep-rooted perennial herb used for green fodder, for hay or silage,
and for pasture.",,641,,,fodder,,,
GREEN OILSEEDS FOR SILAGE,Cut green as grass.,,642,,,fodder,,,
"LEGUMES FOR SILAGE
Including inter alia:
birdsfoot, trefoil (Lotus corniculatus);
lespedeza (Lespedeza spp.);
kudzu (Pueraria lobata);
sesbania (Sesbania spp.);
sainfoin, esparcette (Onobrychis sativa);
sulla (Hedysarum coronarium)","Includes species of pulses, if harvested for fodder.",,643,,,fodder,,,
"CABBAGE FOR FODDER
Brassica chinensis; B. oleracea",Especially cultivated for fodder.,,644,,,fodder,,,
"PUMPKINS FOR FODDER
Cucurbita spp.
Especially cultivated for fodder.",,,645,,,fodder,,Annual,
"TURNIPS FOR FODDER
Brassica rapa var. rapifera",Especially cultivated for fodder.,,646,,,fodder,,,
"BEETS FOR FODDER
beet, beetroot, mangold (Beta vulgaris)",Especially cultivated for fodder.,,647,,,fodder,,,
"CARROTS FOR FODDER
Daucus carota",Especially cultivated for fodder.,,648,,,fodder,,,
"SWEDES FOR FODDER
rutabaga, swede, swede turnip
(Brassica napus var napobrassica)",Especially cultivated for fodder.,,649,,,fodder,,,
"Leaves, Tops and Vines nes","Vegetable products that are not specifically grown for animal feed,
but are used for that purpose.",,650,,,fodder,,,
Forage Products nes,Plants specifically grown for animal feed.,,651,,,fodder,,,
Vegetable Products for Feed nes,"Vegetable products, vegetable waste, residues and by-products from the
industrial processing of vegetable materials.",,652,,,fodder,,,
Food Wastes,"Sweetened forage and preparations of a kind used for animal feed, e.g.
wine lees, argol.",,653,,,fodder,,,
"VEGETABLES, ROOTS FODDER NES",Any other crop of the vegetable group that is cultivated for fodder.,,655,,,fodder,,,
"COFFEE, GREEN
Coffea spp. (arabica, robusta, liberica)",Raw coffee in all forms.,"Coffee, green",656,,,stimulant,,Perennial,20.0
"Coffee, Roasted","With or without caffeine, and whether or not ground.",,657,,,stimulant,,Perennial,20.0
Coffee Substitutes,Coffee substitutes containing coffee in any proportion.,,658,,,stimulant,,Perennial,20.0
Coffee Extracts,"Essences and concentrates, including instant coffee, roasted chicory
and other coffee substitutes, extracts and essences thereof.",,659,,,stimulant,,Perennial,20.0
Coffee Husks and Skins,,,660,,,stimulant,,Perennial,20.0
"COCOA BEANS
Theobroma cacao","The seeds contained in the fruit of the cacao- tree, including whole
or broken, raw or roasted.","Cocoa, beans",661,,,stimulant,,Annual,
Cocoa Paste,"Obtained by grinding roasted cocoa beans. Also called liquor. Not
defatted.",,662,,,stimulant,,Annual,
Cocoa Husks and Shells,Including skins and other cocoa waste.,,663,,,stimulant,,Annual,
Cocoa Butter,"Obtained by hot-pressing either cocoa paste or the whole bean.
Includes the fat and oil.",,664,,,stimulant,,Annual,
Cocoa Powder and Cake,"Wholly or partly defatted paste (cake) and cake reduced to powder,
without added sugar or other sweeteners.",,665,,,stimulant,,Annual,
Chocolate Products nes,"Includes sweetened cocoa powder, chocolate and other food preparations
containing cocoa, as well as sugar confectionery containing cocoa in
any amount. Excludes white chocolate
(see 0168 in Chapter .).",,666,,,stimulant,,Annual,
"TEA
Camellia sinensis; Thea
sinensis; Thea assaamica","Includes green tea (unfermented), black tea (fermented), and partially
fermented tea. Excludes green tea eaten as a vegetable.",Tea,667,,,stimulant,,Perennial,50.0
"MATE
Ilex paraguayensis","The dried leaves of certain shrubs of the holly family which grow in
South America. Prepared in a way similar to tea.",Maté,671,,,stimulant,,Perennial,2.0
Extracts of Tea and Mate,"Includes essences, concentrates and preparations of tea and matâ€š.",,672,,,stimulant,,Perennial,
TEA NES,"Various plants used for making infusions like tea, i.e. herbal teas.",,674,,,stimulant,,Perennial,50.0
"HOPS
Humulus lupulus","Hop cones, fresh or dried, whether or not ground, powdered or in the
form of pellets. Includes lupuline, a yellow resinous powder that
covers the hop cones. Mainly used in the brewing industry to give
flavour to beer.",Hops,677,,,tobacco,,,
"PEPPER
black, white pepper (Piper nigrum);
long pepper (P. longum)","Perennial climbing vines. Includes whole, crushed or ground berries.
Black pepper is produced from partially ripe berries, while white
pepper is from fully ripe berries which have had the outer hull
removed.",Pepper (piper spp.),687,,,spice,,Annual,
"PIMENTO
red and cayenne pepper, paprika, chillies (Capsicum frutescens; C.
annuum);
allspice, Jamaica pepper (Pimenta officinalis)","Uncrushed or unground fresh pimentos are considered to be vegetables.
See Chapter 7.","Chillies and peppers, dry",689,,,spice,,Annual,
"VANILLA
Vanilla planifolia; V. pompona","The fruit (or bean) of a climbing plant of the orchid family. Includes
whole, crushed or ground.",Vanilla,692,,,spice,,,
"CINNAMON (CANELLA)
Ceylon cinnamon (Cinnamomum zeylanicum);
Chinese, common cinnamon, cassia (C. cassia)","The inner bark of young branches of certain trees of the Laurus
family. Includes cinnamon- tree flowers, cinnamon fruit and cinnamon
waste (chips), whether whole, crushed or ground.",Cinnamon (cannella),693,,,spice,,Perennial,
"CLOVES
Eugenia caryophyllata;
Caryophyllus aromaticus","The whole fruit of the clove tree, including the flowers picked before
maturity and dried in the sun, and the stems of the clove flowers.",Cloves,698,,,spice,,Annual,
"NUTMEG, MACE, CARDAMONS
nutmeg, mace (Myristica fragrans);
cluster cardamon (Elettaria cardamomum);
other cardamons (Aframomum angustifolium; A. hambury;
Amomun aromaticum; A. cardamomum);
Malaguetta pepper, grains of paradise (Aframomum melegueta)","Nutmeg is the inner brown kernel of the fruit of the nutmeg tree. Mace
is the net-like membrane between the outer shell and the kernel.
Cardamon seeds are enclosed in the capsule produced by perennial herbs
of the Zingiberaceae family.","Nutmeg, mace and cardamoms",702,,,spice,,Perennial,60.0
"ANISE, BADIAN, FENNEL
Include: anise (Pimpinella anisum);
badian or star anise (Illicium verum);
caraway (Carum carvi);
coriander (Coriandrum sativum);
cumin (Cuminum cyminum);
fennel (Foeniculum vulgare);
juniper berries (Juniperus communis)","Seeds and berries from the various plants listed. They are normally
used as spices, but also have industrial (e.g. in distilleries) and
medicinal applications.","Anise, badian, fennel, coriander",711,,,spice,,Perennial,
"GINGER
Zingiber officinale","Rhizome of a perennial herb. It also is used for making beverages.
Includes fresh, provisionally preserved or dried, whereas ginger
preserved in sugar or syrup is excluded.",Ginger,720,,,spice,,Annual,
"SPICES NES
Including inter alia:
bay leaves (Laurus nobilis);
dill seed (Anethum graveolens);
fenugreek seed (Trigonella foenum-graecum);
saffron (Crocus sativus);
thyme (Thymus vulgaris);
turmeric (Curcuma longa)","Other spices that are not identified separately because of their minor
relevance at the international level. Because of their limited local
importance, some countries report spices under this heading that are
classified individually by FAO. This heading also includes curry
powder and other mixtures of different spices.",Spices nes,723,,,spice,,,
OIL OF CITRONELLA,Essential oil extracted from Cymbopogon nardus.,,737,,,tobacco,,,
"PEPPERMINT, SPEARMINT
Mentha spp.: M. piperita","Leaves and flowers are used in the perfumery, food and other
industries.",Peppermint,748,,,tobacco,,Perennial,
ESSENTIAL OILS NES,"Extracted from many plants and used mainly in the perfumery, food and
other industries.",,753,,,tobacco,,,
"PYRETHRUM, DRIED FLOWERS
Chrysanthemum cinerariifolium","Includes leaves, stems and flowers. For insecticides, fungicides and
similar products.","Pyrethrum, dried",754,,,tobacco,,Perennial,
Pyrethrum Extract,Obtained from the flowers by extraction using an organic solvent.,,755,,,tobacco,,,
Pyrethrum Marc,The waste from pyrethrum processing.,,756,,,tobacco,,,
"COTTON LINT
Gossypium spp","Fibres from ginning seed cotton that have not been carded or combed.
Trade data also include fibres that have been cleaned, bleached, dyed
or rendered absorbent.",Cotton lint,767,,,Fibre Crops Primary,1753.0,Annual,
"Cotton, Carded or Combed","Cotton (including garnetted stock and other cotton waste) which has
been carded or combed, whether or not further prepared for spinning.
May be bleached or dyed.",,768,,,Fibre Crops Primary,1753.0,Annual,
Cotton Waste,"Waste is produced when cotton is prepared for spinning, or during
spinning operations, weaving, knitting, etc., or from garnetting
cotton goods.",,769,,,Fibre Crops Primary,1753.0,Annual,
Cotton Linters,"Very short fibres that cover the seeds after ginning and that are very
high in cellulose.",,770,,,Fibre Crops Primary,1753.0,Annual,
"[FLAX, RAW OR RETTED]
Linum usitatissimum
Flax Straw","Flax is cultivated for seed as well as for fibre. The fibre is
obtained from the stem of the plant. Data are reported in terms of
straw.",,771,,,Fibre Crops Primary,1753.0,,
FLAX FIBRE AND TOW,"Broken, scutched, hackled etc. but not spun. Traditionally, FAO has
used this commodity to identify production in its raw state; in
reality, the primary agricultural product is the commodity 0771, which
can either be used for the production of fibre or for other purposes.",Flax fibre and tow,773,,,Fibre Crops Primary,1753.0,,
Flax Tow and Waste,Includes yarn waste and garnetted stock.,,774,,,Fibre Crops Primary,1753.0,,
"HEMP FIBRE AND TOW
Cannabis sativa","This plant is cultivated for seed as well as for fibre. The fibre is
obtained from the stem of the plant. Trade data include raw, retted,
scutched, combed fibre, tow and waste.",Hemp tow waste,777,,,Fibre Crops Primary,1753.0,,
"KAPOK FIBRE
Ceiba pentandra","This plant is cultivated for seed as well as for fibre. Trade data
cover only fibres that have been crushed, carded or combed for
spinning.",,778,,,Fibre Crops Primary,1753.0,,
"JUTE
white jute (Corchorus capsularis);
red jute, tossa",,Jute,780,,,Fibre Crops Primary,1753.0,,
"JUTE-LIKE FIBRES
Including inter alia:
China jute (Abutilon avicennae);
Congo jute, malva, paka (Urena lobata; U. sinuata);
Indian flax (Abroma augusta);
kenaf, meshta (Hibiscus cannabinus);
rosella hemp (H. sabdariffa);
sunn hemp (Crotalaria juncea)","This definition covers all textile fibres extracted from the stems of
dicotyledonous plants, o/t flax, ramie, true hemp and true jute. For
trade coverage see 0780.","Bastfibres, other",782,,,Fibre Crops Primary,1753.0,,
"RAMIE
China grass, white ramie (Boehmeria nivea);
rhea, green ramie (B. tenacissima)","Ramie fibre is obtained from the bast of the plant. For trade coverage
see 0780",Ramie,788,,,Fibre Crops Primary,1753.0,Perennial,
"SISAL
Agave sisalana","Sisal fibre is obtained from the leaves of the plant. It also is used
as an ornamental plant. Trade data cover fibres that are raw, prepared
for spinning, and tow and waste, including yarn waste and garnetted
stock.",Sisal,789,,,Fibre Crops Primary,1753.0,Perennial,
"AGAVE FIBRES NES
Including inter alia:
Haiti hemp (Agave foetida);
henequen (A. fourcroydes);
ixtle, tampico (A. lecheguilla);
maguey (A. cantala);
pita (A. americana);
Salvador hemp (A. letonae)","See 0789. The leaves of some agave varieties are used for the
production of alcoholic beverages, such as aquamiel, mezcal, pulque
and tequila.",Agave fibres nes,800,,,Fibre Crops Primary,1753.0,,
"ABACA MANILA HEMP
Musa textilis","The fibre is obtained from stalks of certain banana trees. For trade
coverage see 0789.",Manila fibre (abaca),809,,,Fibre Crops Primary,1753.0,,
"COIR
Cocos nucifera","Coir fibre is obtained from the fibrous covering of the mesocarp. For
trade coverage see 0789.",Coir,813,,,Fibre Crops Primary,1753.0,Perennial,70.0
"FIBRE CROPS NES
Including inter alia:
alfa, esparto (Lygeum spartum;
Stipa tenacissima);
bowstring hemp (Sansevieria spp.);
caroa (Neoglaziovia variegata);
fuque fibre (Furcraea macrophylla);
Mauritius hemp (F. gigantea);
New Zealand flax (Phormium tenax);
palma ixtle (Samuela carnerosana)","Other fibres that are not identified separately because of their minor
relevance at the international level. Because of their limited local
importance, some countries report vegetable fibres under this
commodity heading that are classified individually by FAO. The fibre
is obtained from the leaves, stalks or fruit of the plant. In
instances where the fibrous part is normally used for other purposes,
data cover only those fibres intended for spinning. For trade coverage
see 0789.",Fibre crops nes,821,,,Fibre Crops Primary,1753.0,,
"TOBACCO LEAVES
Nicotiana tabacum","Unmanufactured dry tobacco, including refuse that is not stemmed or
stripped, or is partly or wholly stemmed or stripped.","Tobacco, unmanufactured",826,,,tobacco,,Annual,
Cigarettes,Includes cigarettes of tobacco substitutes.,,828,,,tobacco,,Annual,
Cigars and Cheroots,"Includes cigars, cheroots and cigarillos of tobacco substitutes.",,829,,,tobacco,,Annual,
Tobacco Products nes,"Includes smoking, chewing, snuff tobacco, homogenized or compressed
tobacco, manufactured tobacco substitutes, tobacco extracts and
essences.",,831,,,tobacco,,Annual,
"NATURAL RUBBER
Hevea brasiliensis
Latex","The liquid secreted by the rubber tree. Includes stabilized or
concentrated latex and prevulcanized rubber latex. In trade figures,
liquid weight is converted to dry weight at 60%.","Rubber, natural",836,,,tobacco,,Perennial,32.0
"Rubber, Natural (Dry)","In the form of sheets, crå§es, re-agglomerated granules, free-flowing
powders, etc.; includes technically specified natural rubber (TSNR).",,837,,,tobacco,,Perennial,32.0
"NATURAL GUMS
Including inter alia:
balata (Manilkara bidentata",,"Gums, natural",839,,,tobacco,,,
"Compound Feed, Cattle","Prepared animal feed designed to provide a balanced diet (complete
feed).",,840,,,fodder,,,
"Compound Feed, Poultry",See 0840.,,841,,,fodder,,,
"Compound Feed, Pigs",See 0840.,,842,,,fodder,,,
Pet Food,"International trade classifications cover only dog and cat food. FAO
trade data also cover food for other pets (i.e. fish, birds, etc.),
whenever possible.",,843,,,fodder,,,
Compound Feed nes,See 0840. See general note in the introduction.,,845,,,fodder,,,
Gluten Feed and Meal,See Chapter 11.,,846,,,"Cereals, Total",1717.0,,
Gluten Feed and Meal,"Generally, by-products of the wet milling of maize. Gluten feed
consists of fibres, spent germ and steep liquor. Gluten meal contains
endosperm protein fractions that remain following starch recovery (see
Chapter 1.).",,846,,,fodder,,,
Feed Yeast,Inactive dried yeast.,,849,,,fodder,,,
Feed Supplements,"Prepared animal feed that supplements the basic farm produced feed
with organic or inorganic substances.",,850,,,fodder,,,
Non-Protein Nitrogens,"A mixture of different nutrients or substances that are used in making
complete or supplementary feeds.",,851,,,fodder,,,
Other Concentrates nes,See 0851.,,852,,,fodder,,,
Vitamins,See 0851,,853,,,fodder,,,
Feed Additives,See 0851.,,854,,,fodder,,,
Feed Minerals,See 0851.,,855,,,fodder,,,
"Hay, Non-Leguminous",Hay that is mainly from grasses.,,857,,,fodder,,,
"Hay (Clover, Lucerne, etc.)",Hay from leguminous crops.,,858,,,fodder,,Annual,
Hay nes,Hay from unspecified plants.,,859,,,fodder,,,
RANGE PASTURES,,,860,,,fodder,,,
IMPROVED PASTURES,,,861,,,fodder,,,
Alfalfa Meal and Pellets,"Alfalfa (lucerne) dried, whole, cut, chopped, milled, pressed or
pelletized.",,862,,,fodder,,,
"CATTLE
common ox (Bos taurus);
zebu, humped ox (Bos indicus);
Asiatic ox (subgenus Bibos);
Tibetan yak (Poephagus grunniens)","Animals of the genus listed, regardless of age, sex, or purpose
raised. Data are expressed in number of heads.",,866,,,livestock,,,
MEAT OF CATTLE,"Meat of bovine animals, fresh, chilled or frozen, with bone in. Commontrade names are beef and veal.",,867,,,slaughter,,,
"OFFALS OF CATTLE, EDIBLE","Fresh, chilled or frozen.",,868,,,slaughter,,,
FAT OF CATTLE,See Chapter 14.,,869,,,slaughter,,,
FAT OF CATTLE,"Unrendered slaughter fats from bovine animals, including edible and
inedible fats that are removed in the course of dressing the carcass.",,869,,,fat,,,
"MEAT OF CATTLE, BONELESS","Boneless meat of bovine animals, whether fresh, chilled or frozen.",,870,,,slaughter,,,
"Cattle, Butcher Fat",Unrendered fats that are removed during butchering.,,871,,,fat,,,
"Cattle, Butcher Fat",See Chapter 14.,,871,,,slaughter,,,
"Beef and Veal, Dried, Salted, Smok","Meat of bovine animals, whether salted, in brine, dried or smoked.Includes edible flours and meals.",,872,,,slaughter,,,
Meat Extracts,Extracts obtained by boiling meat under pressure and concentrating theresulting liquid after the fat has been removed. Includes juicesobtained by pressing raw meat. Whenever possible trade data excludefish extracts.,,873,,,slaughter,,,
Sausages of Beef and Veal,"Preparations of meat or offal, whether chopped, minced or of blood.They may be raw, cooked or smoked and contain other ingredients, andare then enclosed in natural or artificial casings.",,874,,,slaughter,,,
Beef and Veal Preparations nes,"Meat and offal (o/t liver) that are boiled, steamed, grilled, fried,roasted or otherwise cooked. Includes prepared meals that contain morethan 20% of meat and offal by weight.",,875,,,slaughter,,,
Homogenized Meat Preparations,Preparations used in infant or dietetic food.,,877,,,slaughter,,,
Liver Preparations,"Liver of any animal, excluding fatty livers of code 1060.",,878,,,slaughter,,,
"COW MILK, WHOLE (FRESH)","Production data refer to raw milk containing all its constituents.
Trade data normally cover milk from any animal, and refer to milk that
is not concentrated, pasteurized, sterilized or other-wise preserved,
homogenized or peptonized.",,882,,,animal,,,
Standardized Milk,"Milk in which the fat content is adjusted to a predetermined value
without altering any other constituents.",,883,,,animal,,,
"Cream, Fresh","That portion of milk which is rich in milk fat and is separated by
skimming or centrifuging.",,885,,,animal,,,
Butter of Cow Milk,"Emulsion of milk fat and water that is obtained by churning cream.
Trade data cover butter from the milk of any animal.",,886,,,animal,,,
Ghee from Cow Milk,"Butter from which the water has been removed. Very common in hot
countries. Includes also anhydrous butterfat or butter oil.",,887,,,animal,,,
Skim Milk of Cows,Milk from which most of the fat has been removed.,,888,,,animal,,,
"Whole Milk, Condensed","Milk and cream from which water has been partly removed after
heat-treating and concentrating. Normally sucrose is added to give the
product stability and bacteriological safety.",,889,,,animal,,,
"Whey, Condensed",Whey paste.,,890,,,animal,,,
Yoghurt,A fermented milk food.,,891,,,animal,,,
"Yoghurt, Concentrated or Unconcent","Includes additives such as sugar, flavouring materials, fruit or
cocoa.",,892,,,animal,,,
"Buttermilk, Curdled Milk, Acidifie",Residue from butter making. Includes kephir.,,893,,,animal,,,
"Whole Milk, Evaporated","Milk and cream from which the water has been partly removed and which
has been heat- treated to render it bacteriologically safe and stable.",,894,,,animal,,,
